p_L,p_H,p_M,expected_value,axis,indifference_value,n_iterations,final_precision,timestamp
0.0,0.08333333333333333,0.9166666666666666,541.6666666666666,Y,0.08349609375,10,0.0009765625,2025-12-22T11:45:34.195364
0.0,0.16666666666666666,0.8333333333333334,583.3333333333334,Y,0.16748046875,10,0.0009765625,2025-12-22T11:45:38.118125
0.0,0.25,0.75,625.0,Y,0.25048828125,10,0.0009765625,2025-12-22T11:45:42.268088
0.0,0.3333333333333333,0.6666666666666667,666.6666666666667,Y,0.33349609375,10,0.0009765625,2025-12-22T11:45:46.435358
0.0,0.41666666666666663,0.5833333333333334,708.3333333333333,Y,0.41552734375,10,0.0009765625,2025-12-22T11:45:50.811746
0.0,0.5,0.5,750.0,Y,0.50048828125,10,0.0009765625,2025-12-22T11:45:55.521030
0.0,0.5833333333333333,0.41666666666666674,791.6666666666666,Y,0.58349609375,10,0.0009765625,2025-12-22T11:46:00.568266
0.0,0.6666666666666666,0.33333333333333337,833.3333333333333,Y,0.66748046875,10,0.0009765625,2025-12-22T11:46:04.943006
0.0,0.75,0.25,875.0,Y,0.75048828125,10,0.0009765625,2025-12-22T11:46:08.936177
0.0,0.8333333333333333,0.16666666666666674,916.6666666666666,Y,0.83349609375,10,0.0009765625,2025-12-22T11:46:13.646727
0.0,0.9166666666666666,0.08333333333333337,958.3333333333333,Y,0.91748046875,10,0.0009765625,2025-12-22T11:46:17.771675
0.08333333333333333,0.0,0.9166666666666666,458.3333333333333,X,0.08251953125,10,0.0009765625,2025-12-22T11:46:21.638877
0.08333333333333333,0.08333333333333333,0.8333333333333333,499.99999999999994,X,0.06591796875,10,0.0009765625,2025-12-22T11:46:25.834776
0.08333333333333333,0.16666666666666666,0.75,541.6666666666666,Y,0.15966796875,10,0.0009765625,2025-12-22T11:46:30.953057
0.08333333333333333,0.25,0.6666666666666666,583.3333333333333,Y,0.24169921875,10,0.0009765625,2025-12-22T11:46:36.863281
0.08333333333333333,0.3333333333333333,0.5833333333333333,625.0,Y,0.31005859375,10,0.0009765625,2025-12-22T11:46:41.484898
0.08333333333333333,0.41666666666666663,0.5,666.6666666666666,Y,0.39794921875,10,0.0009765625,2025-12-22T11:46:45.594913
0.08333333333333333,0.5,0.41666666666666663,708.3333333333333,Y,0.43505859375,10,0.0009765625,2025-12-22T11:46:51.621129
0.08333333333333333,0.5833333333333333,0.33333333333333337,750.0,Y,0.56591796875,10,0.0009765625,2025-12-22T11:46:56.040401
0.08333333333333333,0.6666666666666666,0.25,791.6666666666666,Y,0.65185546875,10,0.0009765625,2025-12-22T11:47:00.034009
0.08333333333333333,0.75,0.16666666666666663,833.3333333333333,Y,0.74755859375,10,0.0009765625,2025-12-22T11:47:04.745706
0.08333333333333333,0.8333333333333333,0.08333333333333337,875.0,Y,0.81494140625,10,0.0009765625,2025-12-22T11:47:09.813932
0.08333333333333333,0.9166666666666666,0.0,916.6666666666666,Y,0.90771484375,10,0.0009765625,2025-12-22T11:47:13.757202
0.16666666666666666,0.0,0.8333333333333334,416.6666666666667,X,0.16650390625,10,0.0009765625,2025-12-22T11:47:19.236445
0.16666666666666666,0.08333333333333333,0.75,458.3333333333333,X,0.12841796875,10,0.0009765625,2025-12-22T11:47:23.486524
0.16666666666666666,0.16666666666666666,0.6666666666666667,500.0,Y,0.06103515625,10,0.0009765625,2025-12-22T11:47:27.581766
0.16666666666666666,0.25,0.5833333333333334,541.6666666666667,Y,0.23681640625,10,0.0009765625,2025-12-22T11:47:32.740601
0.16666666666666666,0.3333333333333333,0.5,583.3333333333333,Y,0.24853515625,10,0.0009765625,2025-12-22T11:47:36.782898
0.16666666666666666,0.41666666666666663,0.41666666666666674,625.0,Y,0.35595703125,10,0.0009765625,2025-12-22T11:47:40.355453
0.16666666666666666,0.5,0.33333333333333337,666.6666666666667,Y,0.24951171875,10,0.0009765625,2025-12-22T11:47:46.405781
0.16666666666666666,0.5833333333333333,0.2500000000000001,708.3333333333333,Y,0.52490234375,10,0.0009765625,2025-12-22T11:47:50.720578
0.16666666666666666,0.6666666666666666,0.16666666666666674,750.0,Y,0.59716796875,10,0.0009765625,2025-12-22T11:47:54.590176
0.16666666666666666,0.75,0.08333333333333337,791.6666666666667,Y,0.68505859375,10,0.0009765625,2025-12-22T11:47:59.980722
0.16666666666666666,0.8333333333333333,1.1102230246251565e-16,833.3333333333333,Y,0.03955078125,10,0.0009765625,2025-12-22T11:48:04.750858
0.25,0.0,0.75,375.0,X,0.24951171875,10,0.0009765625,2025-12-22T11:48:09.974674
0.25,0.08333333333333333,0.6666666666666666,416.66666666666663,X,0.11572265625,10,0.0009765625,2025-12-22T11:48:14.568506
0.25,0.16666666666666666,0.5833333333333334,458.33333333333337,X,0.12744140625,10,0.0009765625,2025-12-22T11:48:19.189517
0.25,0.25,0.5,500.0,Y,0.05419921875,10,0.0009765625,2025-12-22T11:48:24.411013
0.25,0.3333333333333333,0.4166666666666667,541.6666666666666,Y,0.27783203125,10,0.0009765625,2025-12-22T11:48:29.429400
0.25,0.41666666666666663,0.33333333333333337,583.3333333333333,Y,0.32861328125,10,0.0009765625,2025-12-22T11:48:34.241703
0.25,0.5,0.25,625.0,Y,0.25146484375,10,0.0009765625,2025-12-22T11:48:38.075527
0.25,0.5833333333333333,0.16666666666666674,666.6666666666666,Y,0.37255859375,10,0.0009765625,2025-12-22T11:48:41.732026
0.25,0.6666666666666666,0.08333333333333337,708.3333333333333,Y,0.12451171875,10,0.0009765625,2025-12-22T11:48:46.631480
0.25,0.75,0.0,750.0,Y,0.04736328125,10,0.0009765625,2025-12-22T11:48:51.132409
0.3333333333333333,0.0,0.6666666666666667,333.33333333333337,X,0.33251953125,10,0.0009765625,2025-12-22T11:48:56.055967
0.3333333333333333,0.08333333333333333,0.5833333333333334,375.0,X,0.18701171875,10,0.0009765625,2025-12-22T11:49:00.558985
0.3333333333333333,0.16666666666666666,0.5000000000000001,416.66666666666674,X,0.18798828125,10,0.0009765625,2025-12-22T11:49:04.249294
0.3333333333333333,0.25,0.41666666666666674,458.33333333333337,X,0.14794921875,10,0.0009765625,2025-12-22T11:49:10.713620
0.3333333333333333,0.3333333333333333,0.3333333333333334,500.0,Y,0.00048828125,10,0.0009765625,2025-12-22T11:49:14.541323
0.3333333333333333,0.41666666666666663,0.2500000000000001,541.6666666666667,Y,0.00048828125,10,0.0009765625,2025-12-22T11:49:19.091570
0.3333333333333333,0.5,0.16666666666666674,583.3333333333334,Y,0.06005859375,10,0.0009765625,2025-12-22T11:49:23.800711
0.3333333333333333,0.5833333333333333,0.08333333333333348,625.0,Y,0.01611328125,10,0.0009765625,2025-12-22T11:49:28.001588
0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,666.6666666666666,Y,0.00048828125,10,0.0009765625,2025-12-22T11:49:33.734169
0.41666666666666663,0.0,0.5833333333333334,291.6666666666667,X,0.41650390625,10,0.0009765625,2025-12-22T11:49:39.263602
0.41666666666666663,0.08333333333333333,0.5,333.3333333333333,X,0.27099609375,10,0.0009765625,2025-12-22T11:49:43.974457
0.41666666666666663,0.16666666666666666,0.41666666666666674,375.0,X,0.38037109375,10,0.0009765625,2025-12-22T11:49:47.866009
0.41666666666666663,0.25,0.33333333333333337,416.6666666666667,X,0.29833984375,10,0.0009765625,2025-12-22T11:49:52.564360
