larger_amount,delay_days,front_end_delay,indifference_amount,discount_factor,annual_rate,n_iterations,final_precision,timestamp
10,30.42,0,4.7900390625,0.47900390625,6846.168400448078,10,0.009765625,2025-12-22T14:02:22.206853
10,91.26,0,5.7470703125,0.57470703125,8.164494634533176,10,0.009765625,2025-12-22T14:02:45.944839
10,182.52,0,1.0205078125,0.10205078125,94.97322980780099,10,0.009765625,2025-12-22T14:03:10.565127
10,365.04,0,1.8115234375,0.18115234375,4.519182327799265,10,0.009765625,2025-12-22T14:03:36.205780
10,730.08,0,0.8154296875,0.08154296875,2.5014432918586373,10,0.009765625,2025-12-22T14:03:59.971166
10,1095.1200000000001,0,0.1416015625,0.01416015625,3.132787906420104,10,0.009765625,2025-12-22T14:04:24.492170
10,1460.16,0,0.1123046875,0.01123046875,2.0714759646630796,10,0.009765625,2025-12-22T14:04:47.320875
10,1825.2,0,0.0537109375,0.00537109375,1.84405314051192,10,0.009765625,2025-12-22T14:05:11.224092
100,30.42,0,46.435546875,0.46435546875,9938.285327191817,10,0.09765625,2025-12-22T14:05:34.731553
100,91.26,0,25.048828125,0.25048828125,252.85564916634218,10,0.09765625,2025-12-22T14:06:00.329643
100,182.52,0,50.048828125,0.50048828125,2.9915933900615337,10,0.09765625,2025-12-22T14:06:26.845813
100,365.04,0,50.048828125,0.50048828125,0.9978972421177053,10,0.09765625,2025-12-22T14:06:50.095348
100,730.08,0,1.904296875,0.01904296875,6.24500053459034,10,0.09765625,2025-12-22T14:07:14.907304
100,1095.1200000000001,0,0.341796875,0.00341796875,5.637235437479132,10,0.09765625,2025-12-22T14:07:39.643106
100,1460.16,0,0.146484375,0.00146484375,4.110631098647728,10,0.09765625,2025-12-22T14:08:05.410611
100,1825.2,0,0.146484375,0.00146484375,2.687904163822864,10,0.09765625,2025-12-22T14:08:30.939399
1000,30.42,0,381.34765625,0.38134765625,105582.6059040378,10,0.9765625,2025-12-22T14:08:55.310983
1000,91.26,0,634.27734375,0.63427734375,5.1772694043053145,10,0.9765625,2025-12-22T14:09:18.699875
1000,182.52,0,526.85546875,0.52685546875,2.6021021353067266,10,0.9765625,2025-12-22T14:09:42.902357
1000,365.04,0,522.94921875,0.52294921875,0.9120957275924206,10,0.9765625,2025-12-22T14:10:05.952892
1000,730.08,0,66.89453125,0.06689453125,2.8658085073540156,10,0.9765625,2025-12-22T14:10:28.873186
1000,1095.1200000000001,0,51.26953125,0.05126953125,1.6915333236560266,10,0.9765625,2025-12-22T14:10:54.322238
1000,1460.16,0,17.08984375,0.01708984375,1.765457981468888,10,0.9765625,2025-12-22T14:11:19.552710
1000,1825.2,0,8.30078125,0.00830078125,1.6069374011202413,10,0.9765625,2025-12-22T14:11:43.070009
